/dmarker/@word	dmarker/@id	dmarker/orths/orth1/@orth1type	dmarker/orths/orth1/part1/@orth1typep1	dmarker/orths/orth1/orth1part1	dmarker/orths/orth1/part2/@orth1typep2	dmarker/orths/orth1/orth1part2	dmarker/syn/type	dmarker/syn/cat	dmarker/syn/context/mood	dmarker/syn/context/tense	dmarker/syn/modifier1	dmarker/syn/modifier2	dmarker/sem/relationl1	dmarker/sem/relationl2	dmarker/sem/relationl3	dmarker/synonym/@lexicon	dmarker/synonym/@entryid	dmarker/synonym	dmarker/examples/example1/@ex1source	dmarker/examples/example1	dmarker/examples/example2/@ex2source	dmarker/examples/example2	dmarker/examples/@ex3source	dmarker/examples/example3	dmarker/comment
antes	dm22	cont	single	antes			primary connective	adv					expansion	substitution	arg2-as-subst	dimlex-en	26	instead	CRPC	"Uma "" história "" em que os restantes deputados parece não acreditarem . Acham antes que Manuel Monteiro não quis provocar os gaulistas com o seu "" não "" a Santer , contando com a disciplina de voto do RDE . "					
antes de	dm23	cont	phrasal	antes de			primary connective	prep					temporal	asynchronous	precedence	dimlex-en	6	before	CRPC	Antes de acabar a ronda de negociações paralelas que manteve à margem da cimeira com Ehud Barak e Yasser Arafat , o chefe de Estado norte-americano ainda estava esperançado em obter uma plataforma de acordo para o Médio Oriente .					
antes disso	dm24	cont	phrasal	antes disso			secondary connective	adv					temporal	asynchronous	succession			before that	CRPC	Para que o aproveitamento das águas provenientes dos esgotos possa ser posto em prática haverá que criar novas redes , a partir das ETAR de Lisboa , e ligá -las a postos fixos de abastecimento , o que implicará investimentos que terão de ser estudados , missão que competirá à Listrata . Antes disso será preciso proceder a um tratamento terciário dos efluentes , por forma a garantir que eles cumpram a norma comunitária requerida para este fim , ou seja , que , depois de depuradas , as águas residuais apresentem valores que não ultrapassem os 200 coliformes fecais por litro . 					
antes pelo contrário	dm25	cont	phrasal	antes pelo contrário			primary connective	adv					expansion	substitution	arg2-as-subst	dimlex-en	92	on the contrary	CRPC	O argumento clubista é mesmo um pouco ridículo : Sá Carneiro , de quem partiu a ideia da constituição da AD em 1979 , nunca foi acusado de trair o seu partido , antes pelo contrário , é hoje apresentado como o seu principal símbolo . 					
antes que	dm26	cont	phrasal	antes que			primary connective	csu	subjunctive				temporal	asynchronous	precedence	dimlex-en	6	before	CRPC	Antes que a fúria dos cantores , do maestro , dos responsáveis pelo espectáculo , caíssem sobre ele , rodou nos calcanhares e fugiu correndo a bom correr sem saber para onde , pois não conhecia o teatro .					
ao	dm27	cont	single	ao			primary connective	prep		inflected infinitive			temporal	synchronous		dimlex-en	11	when 	CRPC	Ao analisar imagens obtidas pelas sondas Galileu e Voyager , a equipa de William McKinnon , da Universidade de Washington em St . Louis , afirma ter descoberto faixas de terreno brilhante e liso - ou seja , lodo - formado há mil milhões de anos . 					
ao fim e ao cabo 	dm28	cont	phrasal	ao fim e ao cabo 			primary connective	adv					expansion	conjunction		dimlex-en	39	ultimately 	CRPC	Basta recordar aquele famoso conto sobre um rei que buscava um homem feliz e , quando o encontrou , comprovou , surpreendido , que o afortunado apenas dispunha de uma camisa e calças puídas para se cobrir . Talvez que a felicidade , ao fim e ao cabo , radique num trabalho gratificante que ocupe a nossa existência e nos faça sentir bem . 					tal como acontece com «afinal» parece haver uma figura de 3 argumentos (P, Q, ao fim e ao cabo P': neste caso P parece faltar 
ao invés	dm29	cont	phrasal	ao invés			primary connective	adv					expansion	substitution	arg2-as-subst	dimlex-en	26	instead	CRPC	A medida adoptada , devia favorecer os mais desfavorecidos . Ao invés , elas favorecem os hospitais que são financiados pelo Estado , em detrimento de um número elevado de desempregados e deslocados que não têm qualquer fonte de rendimentos.					
ao invés de	dm30	cont	phrasal	ao invés de			primary connective	prep		inflected infinitive			expansion	substitution	arg1-as-subst			instead of	CRPC	Ao invés de simplesmente apostar em áreas cada vez maiores , os autores sugerem ser mais eficaz estabelecer áreas protegidas em zonas com maior número de endemismos - ou seja , espécies que só existem num lugar , e em mais nenhum ponto do planeta . 					
ao mesmo tempo	dm31	cont	phrasal	ao mesmo tempo			primary connective	adv					comparison	contrast		dimlex-en	93	simultaneously	CRPC	Todo o trabalho dos portugueses para resistir às dificuldades da crise económica internacional ou para reagir positivamente aos sinais de recuperação e toda a evolução que , por força desse trabalho , se foi conseguindo foram sistematicamente ignorados ou desvalorizados , como se de um revés se tratasse para a estratégia da oposição . Ao mesmo tempo , toda e qualquer ocorrência negativa era invariavelmente imputada ao Governo .					
ao mesmo tempo	dm32	cont	phrasal	ao mesmo tempo			primary connective	adv					temporal	synchronous		dimlex-en	93	simultaneously	CRPC	Os governos devem proibir ou restringir severamente a produção e o uso de produtos e substâncias prejudiciais ao ambiente , como os metais pesados e os pesticidas . Ao mesmo tempo , devem fomentar o desenvolvimento de alternativas menos gravosas , mesmo que à custa de incentivos positivos e financiamentos . 					Expansion:conjunction?
ao mesmo tempo que	dm33	cont	phrasal	ao mesmo tempo que			primary connective	csu					comparison	contrast		dimlex-en	93	simultaneously	CRPC	"Ao mesmo tempo que o extremista israelita fundava mais um partido radical - e a justiça autorizava Yehuda Etzion , chefe do grupúsculo radical Hai Ve Kayam , a rezar na Esplanada das Mesquitas , que antes quis dinamitar - , o presidente da Autoridade Palestiniana , Yasser Arafat , acolhia em Beit Hanoun , na Faixa de Gaza , o novo líder do Partido Trabalhista israelita , Ehud Barak , tratando -o como "" o novo Rabin "" ."					
ao mesmo tempo que	dm34	cont	phrasal	ao mesmo tempo que			primary connective	csu					temporal	synchronous		dimlex-en	93	simultaneously	CRPC	Sem anestesia geral nem internamento prolongado , a radiocirurgia aumenta o tempo de vida do paciente , ao mesmo tempo que mantém a sua qualidade de vida . 					 Expansion:conjunction?
ao passo que	dm35	cont	phrasal	ao passo que			primary connective	csu					comparison	contrast		dimlex-en	15	while	CRPC	Há cerca de uma década atrás , o número de alunos era de cerca de 5500 , rondando agora os 2800 , ao passo que o corpo docente se manteve na ordem das quatro centenas. 					
apesar de	dm36	cont	phrasal	apesar de			primary connective	prep		inflected infinitive			comparison	contrast				despite	CRPC	Apesar de não terem sido colegas , a amizade delas durava desde o tempo da Faculdade . 					
apesar de que	dm37	cont	phrasal	apesar de que			primary connective	csu	subjunctive				comparison	concession	arg2-as-denier	dimlex-en	36	although	CRPC	"Marco Serpellini ( Lampre ) , 16º Depois de uma primeira semana de Volta tranquila , a dureza da segunda surpreendeu o italiano , que afirmou estar ainda a pensar numa boa classificação final . Apesar de que quando venceu , há dois anos , "" o contra-relógio final era plano e este ano toda a corrida é para escaladores "" ."					
apesar de tudo	dm38	cont	phrasal	apesar de tudo			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	5	nevertheless	CRPC	O destino seria sempre outra coisa e noutros lugares . Apesar de tudo , fora bom ter vivido ali aqueles anos .   					
após	dm39	cont	single	após			primary connective	prep		inflected infinitive	só após		temporal	asynchronous	succession	dimlex-en	19	after 	CRPC	Os candidatos foram rareando e os linguistas raramente faziam parte das equipagens espaciais . Após a sua formatura em linguística passara a trabalhar para o Instituto de Pesquisa Espacial como consultora ... 					
assim 	dm40	cont	single	assim			primary connective	adv					contingency	cause	result	dimlex-en	44	thus	CRPC	Quando os liposomas entram em contacto com a pele , abrem -se e libertam os activos anti-radicais livres bem como a vitamina E e os agentes hidratantes que vão penetrar nos espaços inter-celulares . Assim , estão reunidas as três condições para que as enzinas acordem e entrem em acção . 					
assim como	dm41	cont	phrasal	assim como			primary connective	adv					comparison	similarity		dimlex-en	18	also	CRPC	"Cónego Ferreira dos Santos fala ao JN duma iniciativa pioneira nos domínios do Ensino Manuel Dias Ao falar -nos da concretização de um projecto de que é a "" alma mater "" , o cónego Ferreira dos Santos ressalta o facto de não se tratar de uma escola profissional no sentido vulgar do termo : "" Pretendemos criar líderes e não vamos ter alunos cábulas , já que só podem ser chumbados uma vez . Assim como também não teremos professores instalados ."					
assim que	dm42	cont	phrasal	assim que			primary connective	csu					temporal	asynchronous	succession	dimlex-en	75	as soon as	CRPC	"Assim que assinou a necessária guia de carga , abandonou as instalações do Borges & Irmão de Sátão : "" Tenho que me despachar , há mais um sítio onde tenho de ir para além da rota normal [ Castro Daire ] e o meu colega está à espera do material em Oliveira de Frades "" ."					
assim sendo 	dm43	cont	phrasal	assim sendo 			primary connective	adv					contingency	cause	result	dimlex-en	40	as a result	CRPC	Estava explicado o mistério das janelas trancadas . Assim sendo , era de crer que esta concorrida feira transiberiana fosse uma actividade ilícita . 					
até que	dm44	cont	phrasal	até que			primary connective	csu					temporal	asynchronous	precedence	dimlex-en	8	until	CRPC	Até que o exército israelita decide invadir a sua casa - Mohamed recusa sair e passa a viver com a sua família na sala , enquanto os militares ocupam o andar superior .					
através de 	dm45	cont	phrasal	através de 			primary connective	prep					expansion	manner				through	CRPC	Foi então que , com base nas sugestões dos Clubes de Reflexão Política e Doutrinária , o povo escolheu o regime de democracia participada , ou democracia directa , através de um processo coordenado de eleições . 					
bem como	dm46	cont	phrasal	bem como			primary connective	adv	infinitive				expansion	conjunction		dimlex-en	28	as	CRPC	Em Maio , uns dias antes do início oficial da época balnear ( 1 de Junho ) , as capitanias foram avisadas - também por mensagem , tal como o PÚBLICO então noticiou - que era imperioso reduzir o tempo de utilização de barcos destinados aos salvamentos , bem como reduzir o número de horas extraordinárias .					
bem... mas	dm47	discont	phrasal	bem	single	mas	primary connective	adv					comparison	concession	arg2-as-denier				CRPC	Bem desejaria Berta evitá -lo , mas já não o podia fazer sem uma afectação mais indiscreta do que a própria entrevista . 					
caso contrário	dm48	cont	phrasal	caso contrário			primary connective	adv					contingency	negative-condition	arg1-as-negcond	dimlex-en	60	otherwise	CRPC	Para ler qualquer coisa agora tenho que pôr os óculos , caso contrário , já não consigo ver com detalhe . 					dimlex-en: expansion:conjunction, expansion:exception, expansion:alternative:disjunctive
com a particularidade de	dm49	cont	phrasal	com a particularidade de			altlex	prep					expansion	specification	arg2-as-detail			with the particularity that	CRPC	Depois , um belo dia no início de Julho surgiu a Cruz Vermelha numa grande operação de solidariedade , à moda do Terceiro Mundo . Com a particularidade de ter sido um fiasco . 					
com efeito 	dm50	cont	phrasal	com efeito 			primary connective	adv					contingency	cause	reason	dimlex-en	37	indeed	CRPC	Não haverá piedade para estes ferozes cetáceos , que só têm boca e dentes ! Eis uma justa descrição : boca e dentes ! Com efeito , o cachalote é um cetáceo desproporcionado , porque macrocéfalo . 					
com efeito 	dm51	cont	phrasal	com efeito 			primary connective	adv					contingency	cause+belief	reason+belief	dimlex-en	37	indeed 	CRPC	Quer isto significar que me preocupo menos com questões de beleza e cuidado pessoal ? Talvez não , e aqui é que está o cerne da questão . Com efeito , aquilo que julgo que se terá passado comigo foi uma mudança no tipo de preocupações , com forte atenção ao que chamo de cuidado pessoal , que engloba opções que vão muito para além do conceito de beleza , dado que envolvem a chamada qualidade de vida . 					
com vista a 	dm52	cont	phrasal	com vista a 			primary connective	prep					contingency	purpose	arg2-as-goal	dimlex-en	22	so that	CRPC	De tal modo que impediu o funcionamento do esquema que tinhamos montado com vista a recebermos o seu serviço para a edição da semana passada (...).					
como	dm53	cont	single	como			primary connective	csu					contingency	cause	reason	dimlex-en	34	since	CRPC	Como o pai nunca o gramou suponho que fica satisfeito com a notícia . 					
como 	dm54	cont	single	como			primary connective	prep					expansion	instantiation		dimlex-en	29	for instance	CRPC	No tempo em que tudo era simples , como encontrar a explicação do universo . 					
como que	dm55	cont	phrasal	como que			primary connective	csu					comparison	similarity		dimlex-en	81	as though	CRPC	Como que a confirmar esta minha constatação , a repórter da SIC , também em directo , revelou as mesmas dificuldades .					
como resultado de 	dm56	cont	phrasal	como resultado de 			primary connective	prep					contingency	cause	reason			as a result of	CRPC	"Tal como se esperava , no momento próprio da migração os "" indigo buntings "" deslocaram -se em direcção oposta à estrela Betelgeuse - portanto para norte - , como resultado de não conhecerem as estrelas e as suas posições relativas mas apenas distinguirem as que rodam mais depressa ou mais devagar . "					
como se	dm57	cont	phrasal	como se			primary connective	csu	subjunctive				comparison	similarity		dimlex-en	81	as though	CRPC	Tranquila como poucas , devido à ausência de carros , esta cidade envolve -nos , fascinando -nos com a sua arquitectura bonita e variada , e com a sua decadência e decomposição . Como se lá se tivesse passado uma fascinante orgia de opolência primeiro e pobreza depois ; como se algum deus mau tivesse castigado tanta beleza e tanta cor por serem pecado ; como se a cidade fosse uma mulher outrora linda e depois gasta e prostituida e votada ao desprezo e ao desmazelo pelas forças do destino .					
concomitantemente	dm58	cont	single	concomitantemente			primary connective	adv					expansion	conjunction				concomitantly	CRPC	Contactando com o Lages Barreira , por força do exercicio das suas funções , o reu foi -se insinuando junto dele , convencendo -o de que o podia ajudar a resolver os seus problemas , designadamente impedindo ou atrasando o funcionamento da maquina judicial . Concomitantemente , o reu começou a assediar o Lages Barreira no seu estabelecimento comercial , quer pedindo -lhe dinheiro emprestado , quer obtendo produtos da sua venda , sem se predispor a paga -los .					
concretamente	dm59	cont	single	concretamente			primary connective	adv					expansion	specification		dimlex-en	82	specifically	CRPC	"A Inspecção de Finanças detectou também irregularidades na fiscalização dos trabalhos de construção civil e das instalações eléctricas e mecânicas do edifício da Fundação . Concretamente , terá havido "" pagamentos em duplicado "" _ no valor aproximado de 2500 contos _ às empresas Imocliente e Gestécnica , responsáveis por aquelas empreitadas . "					
consequentemente 	dm60	cont	single	consequentemente			primary connective	adv					contingency	cause	result	dimlex-en	84	consequently 	CRPC	Isso fará com que os turistas possam levar os seus próprios veículos até mais perto da Canada do Inferno e , consequentemente , aumentará o número de visitas . 					
contanto que	dm61	cont	phrasal	contanto que			primary connective	csu	subjunctive				contingency	condition	arg2-as-condition	dimlex-en	16	as long as	CRPC	« Fica com o que quiseres ; não me importo . Contanto que me dês dessa sopa .					
contudo 	dm62	cont	single	contudo			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	17	however	CRPC	A alocução do primeiro responsável por todos estes homens não se conseguiu ouvir por deficiências na instalação sonora montada e por causa do ruído intenso de uma aeronave de transporte . Contudo , conseguimos perceber que , depois de ter apresentado condolências , lembrou que os militares mortos estavam integrados numa força multinacional com o objectivo de trazer a paz à zona . 					
da mesma forma que	dm63	cont	phrasal	da mesma forma que			primary connective	csu					comparison	similarity		dimlex-en	28	as	CRPC	Lemos os mesmos livros , todas as semanas , da mesma forma que conversamos sempre com os mesmos amigos , que tomamos o mesmo café , que fumamos os mesmos cigarros , que viajamos no mesmo autocarro , que vemos as mesmas fitas , que ouvimos as mesmas sinfonias - embora com nomes diferentes . 					
da mesma maneira	dm64	cont	phrasal	da mesma maneira			secondary connective	adv					comparison	similarity		dimlex-en	69	likewise	CRPC	"O candidato Macário exige que o governante da cidade , Jorge Sampaio , passe a gastar no combate às barracas o que gasta em publicidade aos actos camarários : quer "" os dinheiros públicos geridos com parcimónia "" , mas não pode pronunciar -se sobre os rios de dinheiros do Estado gastos pelo Governo no Centro Cultural de Belém , porque extravasa as suas competências de mero candidato autárquico ... Da mesma maneira , a recente Presidência Aberta na área Metropolitana de Lisboa teve de "" positivo "" , segundo o candidato a autarca , dar a conhecer uma "" realidade "" , "" problemas sociais graves em relação aos quais a gestão socialista e comunista não foi capaz de dar resposta "" ."					
da mesma maneira que	dm65	cont	phrasal	da mesma maneira que				csu					comparison	similarity		dimlex-en	69	likewise	CRPC	A crueldade de um mundo desigual reflecte -se nas facetas sádicas que pode assumir o amor entre dois seres « condenados » a viver um com o outro . Da mesma maneira que se torna importante para o autor mostrar como o tempo marca Tristão e Isabel para o melhor e para o pior , desgastando mas também trazendo a maturidade e a amargura de uma vida em que se atravessam todos os infernos e se vai até ao fundo de todas as noites .					
dado que 	dm66	cont	phrasal	dado que 			primary connective	csu					contingency	cause	reason	dimlex-en	34	since 	CRPC	Verificase , por outro lado , que pode ser vantajoso dispor de certificados do SPQ para a exportação de bens produzidos em Portugal , dado que os clientes podem contactar com organismos dos seus países e verificar a credibilidade da intervenção do IPQ . 					
dado que 	dm67	cont	phrasal	dado que 			primary connective	csu					contingency	cause+belief	reason+belief	dimlex-en	34	since 	CRPC	(...) parece que há contribuintes que não são contribuintes , dado que uns têm perdões fiscais e outros , exactamente nas mesmas circunstâncias , não merecem essa generosidade da parte do Governo (...).					
daí 	dm68	cont	single	daí			primary connective	adv		inflected infinitive			contingency	cause	result	dimlex-en	84	consequently 	CRPC	"O estatuto de membro de pleno direito da IS é visto como uma espécie de ""certificado democrático"" para um partido político . Daí haver um cuidado especial nas hierarquizações. "					
daí que	dm69	cont	phrasal	daí que			primary connective	csu	subjunctive				contingency	cause	result	dimlex-en	89	hence 	CRPC	Matar a alma , entre nós , é tão grave como matar o corpo . Daí que todos os jornais hajam instituído uma comissão interna de auto-censura . 					
daqui 	dm70	cont	single	daqui			secondary connective	adv					contingency	cause	result	dimlex-en	89	hence 	CRPC	Está -se mesmo a ver que as crianças trabalham para comer , ou estudam para passar fome. Daqui acontecer normalmente que as crianças perdem sistematicamente os anos , chegando -se ao ponto de entrarem 12 000 crianças na 1a classe .     					
de facto	dm71	cont	phrasal	de facto			primary connective	adv					contingency	cause+belief	reason+belief	dimlex-en	37	indeed 	CRPC	Apenas cria valor de uso , qualitativo , subjectivo ou de mercado , cujo interesse e valor variam com o tempo , por vezes até com a moda imposta pela máquina poderosa da publicidade comercial . De facto os seus produtos servem para satisfazer as necessidades ditas culturais , não raro supérfluas , a que podemos chamar , por homologia , exossomáticas .  					indeed é anotado sobretudo como EXPANSION:conjunction
de forma que 	dm72	cont	phrasal	de forma que 			primary connective	csu					contingency	purpose	arg2-as-goal	dimlex-en	22	so that	CRPC	A solução para esta questão passa por colocar os centros de saúde a fazer urgências , de forma que contribuam para descongestionar aquele serviço hospitalar . 					
de igual modo	dm73	cont	phrasal	de igual modo			secondary connective	adv					comparison	similarity		dimlex-en	69	likewise	CRPC	"Não se tratava ainda de uma intervenção sistemática e programada a prazo , mas foi nesse período que foram construídas 18 das actuais 21 passagens inferiores para peões . De igual modo , foi nessa época que se concretizou a tão desejada rectificação da curva do Mónaco e que se estabeleceu o eixo duplo , pintado no pavimento e com "" olhos de gato "" no meio , que separa os dois sentidos de circulação ."					
de maneira que	dm74	cont	phrasal	de maneira que				csu					contingency	cause	result	dimlex-en	13	so	CRPC	O rústico acha documentos nas estrelas para a sua lavoura e o mareante para a sua navegação e o matemático para as suas observações e para os seus juízos . De maneira que o rústico e o mareante , que não sabem ler nem escrever , entendem as estrelas ; e o matemático , que tem lido quantos escreveram , não alcança a entender quanto nelas há .					
